Title	URL	Assignees	Status	Estimated size	Real size	Labels
Finalize User Facing Documentation	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/191		Product Backlog			chore
Finalize Design Documentation	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/192		Product Backlog			chore
Finalize Build Documentation	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/193		Product Backlog			chore
Update Architecture Diagrams	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/194		Product Backlog			chore
REFACTORING	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/180		Product Backlog			EPIC
Performance	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/198		Product Backlog			EPIC
Create Demo Day Video	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/195		Sprint Backlog	5		chore
Refacor & Test: Object Tracking	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/183	anuunchin	In Progress	5		backend, chore
🟥 Add Ion-Sfu Support (Blocked item – next steps needed)	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/164	zohrehasadi00	In Progress	3		backend, build
Restore Firefox support	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/238	Paul2607	Awaiting Review	2		frontend
Top Down Radar View	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/186	Christoph-Mantsch, Paul2607	Awaiting Review	5		enhancement, frontend
Tensor IO Binding	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/197	zohrehasadi00	Awaiting Review	3		backend, enhancement, technical
Video Router & Dispatching Service	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/56	Tenebrae311	Awaiting Review	8		backend, research, sprint-5, sprint-6
Align Model Inputs	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/201	zohrehasadi00	Awaiting Review	2		backend, technical
Create Demo Day Slide	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/196	saribx	Awaiting Review	2		chore
Model quantization FP16 / INT8	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/178	anuunchin	Awaiting Review	3		backend, enhancement, technical
Minor UI Improvements	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/237	Christoph-Mantsch, saribx	Feature Archive	2	2	frontend
