Title	URL	Assignees	Status	Estimated size	Real size	Labels
Model quantization FP16 / INT8	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/178	anuunchin	Product Backlog			backend, enhancement, technical
Tensor IO Binding	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/197		Product Backlog			backend, technical
Optimize Preprocessing	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/199		Product Backlog			backend, technical
Optimize Postprocessing	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/200		Product Backlog			backend, technical
Align Model Inputs	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/201		Product Backlog			backend, technical
Create Demo Day Slide	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/196		Product Backlog			chore
Finalize User Facing Documentation	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/191		Product Backlog			chore
Finalize Design Documentation	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/192		Product Backlog			chore
Finalize Build Documentation	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/193		Product Backlog			chore
Update Architecture Diagrams	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/194		Product Backlog			chore
Create Demo Day Video	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/195		Product Backlog			chore
Seperate Model Loading	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/76		Product Backlog			backend, EPIC
REFACTORING	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/180		Product Backlog			EPIC
Performance	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/198		Product Backlog			EPIC
Video Router & Dispatching Service	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/56	Tenebrae311	Sprint Backlog	8		backend, research, sprint-5, sprint-6
Refacor & Test: Object Tracking	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/183	anuunchin	In Progress	5		backend, chore
Top Down Radar View	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/186	Christoph-Mantsch, Paul2607	In Progress	5		enhancement, frontend
Centralized Configuration	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/173	zohrehasadi00	In Progress	3		backend, technical
Restore Firefox support	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/238	Paul2607	In Progress	2		frontend
Minor UI Improvements	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/237	Christoph-Mantsch, saribx	Awaiting Review	2		frontend
Refactor & Test: Math functions	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/181	anuunchin	Awaiting Review	3		backend, technical
Add Ion-Sfu Support	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/164	zohrehasadi00	Awaiting Review	3		backend, build
Overlay Frame Smoothing	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/167	anuunchin	Feature Archive	5	3	backend, enhancement, frontend
Refactor & Test: Drawing logic of frontend	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/182	Christoph-Mantsch, Paul2607	Feature Archive	5	5	chore, frontend
UI Improvements	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/168	Christoph-Mantsch, Paul2607, saribx	Feature Archive	3	5	enhancement, frontend
Improve depth estimation	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/166	Tenebrae311	Feature Archive	5	3	backend, enhancement, technical
Use `label_text` in frontend	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/225	zohrehasadi00	Feature Archive	3	3	frontend, technical
Keep Metadata In Sync	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/117	Tenebrae311	Feature Archive	5	8	backend, bug, sprint-7, sprint-8
Label Mapping in Backend	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/176	zohrehasadi00	Feature Archive	3	2	backend, bug
Add Detection Threshold	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/170	zohrehasadi00	Feature Archive	3	3	enhancement, frontend
Evaluate Apple Depth Pro	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/165	saribx	Feature Archive	2	2	backend, enhancement
