Title	URL	Assignees	Status	Estimated size	Real size	Labels
Standalone Model Downloading	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/113		Product Backlog			backend, enhancement
Reduce Container Size	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/114		Product Backlog			backend, build
Move to pyproject.toml	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/115		Product Backlog			backend, build, refactoring
Keep Metadata In Sync	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/117		Product Backlog			backend, bug
Create Object Filter	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/120		Product Backlog			enhancement, frontend
Send Object Location (x, y, z) relative to Camera	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/121		Product Backlog			backend, frontend
Make Object Analysis Extensible	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/123		Product Backlog			enhancement, refactoring
Document Analyzer API Endpoints	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/124		Product Backlog			backend, documentation
Seperate Model Loading	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/76		Sprint Backlog	3		backend, sprint-6
Reduce Inference Time	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/93	Tenebrae311	Sprint Backlog	3		backend, enhancement, sprint-6
Video Router & Dispatching Service	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/56		Sprint Backlog	8		backend, research, sprint-5, sprint-6
Initialize User Facing Documentation	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/97	Tenebrae311	In Progress	3		documentation, sprint-6
React Metadata Widget	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/96	Christoph-Mantsch, Paul2607	In Progress	2		enhancement, frontend, sprint-6
Initialize Build/Deployment Documentation	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/99	zohrehasadi00	Awaiting Review	3		documentation, sprint-6
Properly use CSS	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/94	Christoph-Mantsch, Paul2607, saribx	Awaiting Review	2		frontend, sprint-6, technical
Docker Compose Setup	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/20	anuunchin	Awaiting Review	3		backend, sprint-5, sprint-6
Automate SBOM Generation	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/78	Christoph-Mantsch, Paul2607	Awaiting Review	3	5	chore, sprint-5, sprint-6
Setup and Test analyzing with Cuda and Rocm	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/95	zohrehasadi00	Awaiting Review	3	3	backend, enhancement, sprint-6
Reduce Initial Connection Time	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/92	zohrehasadi00	Awaiting Review	2		backend, bug, frontend, sprint-6
Initialize Technical Documentation	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/98	anuunchin	Awaiting Review	3		documentation, sprint-6
 Transported Metadata Usage	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/54	Tenebrae311	Awaiting Review	5		backend, frontend, sprint-5, sprint-6
Separate Model Downloading	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/79	saribx	Awaiting Review	3		backend, sprint-5, sprint-6
React Video Component	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/36	saribx	Feature Archive	3	3	frontend, sprint-5
Windows Development Setup	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/77	Christoph-Mantsch, Paul2607, zohrehasadi00	Feature Archive	3	3	chore, sprint-5
Investigate Statup Time	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/80	zohrehasadi00	Feature Archive	5	3	backend, bug, frontend, sprint-5
React Video Overlay	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/55	Christoph-Mantsch, Paul2607	Feature Archive	3	3	frontend, sprint-5
